evidence_condition,stage,rows,parser_valid_true,parser_valid_false,parser_valid_missing_or_other,parser_valid_rate,parser_invalid_rate
clean,audit,60,30,30,0,0.5,0.5
clean,decision,60,30,30,0,0.5,0.5
clean,escalation,60,25,35,0,0.416667,0.583333
compressed_lossy,audit,60,48,12,0,0.8,0.2
compressed_lossy,decision,60,51,9,0,0.85,0.15
compressed_lossy,escalation,60,43,17,0,0.716667,0.283333
noisy_conflicting,audit,60,52,8,0,0.866667,0.133333
noisy_conflicting,decision,60,46,14,0,0.766667,0.233333
noisy_conflicting,escalation,60,37,23,0,0.616667,0.383333
partial_dropout,audit,60,41,19,0,0.683333,0.316667
partial_dropout,decision,60,35,25,0,0.583333,0.416667
partial_dropout,escalation,60,32,28,0,0.533333,0.466667
